id,Region,Country,Category,Subcategory,Global_Brand_Owner,pct_2015,pct_2016,pct_2017,Unit2015,Unit2016,Unit2017,Growth_pct_2015_2016,Growth_pct_2016_2017
CE11CD75,WE,Italy,Footwear,Men's Footwear,Inditex, Industria de Diseño Textil SA,0.6,0.6,0.7,14.9,16.6,18.4,11.3,9.2
F3B6946D,WE,Italy,Footwear,Men's Footwear,New Balance Athletic Shoe Inc,0.5,0.5,0.6,13.2,14.1,15,7.2,4.4
F795D47E,WE,Italy,Footwear,Men's Footwear,Fila Holding SpA,0.4,0.4,0.5,11,11.3,12.3,2.8,6.7
4971B882,WE,Italy,Footwear,Men's Footwear,H&M Hennes & Mauritz AB,0.3,0.4,0.4,9,10.3,11.4,14.8,9.1
1B73276B,WE,Italy,Footwear,Men's Footwear,Iconix Brand Group Inc,0.2,0.2,0.3,6.1,6.2,6.5,1.6,3.4
ED3DE91B,WE,Italy,Footwear,Men's Footwear,Brooks Sports Inc,0.1,0.2,0.2,3.9,4.1,4.3,4.1,3.2
B2131B7D,WE,Italy,Footwear,Men's Footwear,Skechers USA Inc,0.1,0.1,0.1,2.8,2.7,2.6,-3.2,-4.5
1D8FF531,WE,Italy,Footwear,Men's Footwear,Lacoste SA,0,0,0,0,0,0,0,0
2BACB22B,WE,Italy,Footwear,Women's Footwear,Nike Inc,4.4,4.7,4.9,199.3,209,215.6,5.1,1.4
846B8494,WE,Italy,Footwear,Women's Footwear,adidas Group,2.2,2.6,2.6,99.7,113,114.7,13.7,-0.2
E2C884A3,WE,Italy,Footwear,Women's Footwear,Mizuno Corp,1,1,1.1,44.5,45.5,48.1,2.5,3.9
56351C3C,WE,Italy,Footwear,Women's Footwear,H&M Hennes & Mauritz AB,0.8,0.9,1,38.2,40.7,43.7,6.7,5.6
3FF71982,WE,Italy,Footwear,Women's Footwear,Asics Corp,0.7,0.7,0.7,30.8,29.9,29.8,-2.8,-2.1
286F0AE3,WE,Austria,Apparel,Childrenswear,H&M Hennes & Mauritz AB,4.8,4.9,5.1,27,28,29.4,3.9,3.4
8A654E1B,WE,Austria,Apparel,Childrenswear,adidas Group,1.5,1.7,1.7,8.2,9.5,9.9,15.7,2.8
FF830B60,WE,Austria,Apparel,Childrenswear,Nike Inc,0.6,0.7,0.7,3.5,4.1,4.3,18.2,3.8
B466B620,WE,Austria,Apparel,Childrenswear,Under Armour Inc,0.4,0.6,0.7,2,3.2,3.9,61.1,19.3
EB8BBDCA,WE,Austria,Apparel,Childrenswear,Inditex, Industria de Diseño Textil SA,0.5,0.5,0.6,2.8,3,3.2,9.6,4.4
954DD7DC,WE,Austria,Apparel,Childrenswear,Lacoste SA,0,0,0,0,0,0,0,0
A24358CA,WE,Austria,Apparel,Menswear,H&M Hennes & Mauritz AB,8.2,8.2,8.2,184.7,184.6,188.2,0.2,0.2
B3DBA340,WE,Austria,Apparel,Menswear,Inditex, Industria de Diseño Textil SA,1.2,1.3,1.3,27.3,28.8,30.8,5.7,5
6C9638B1,WE,Austria,Apparel,Menswear,adidas Group,0.5,0.5,0.5,10.2,11.8,12.3,15.7,2.4
740F9891,WE,Austria,Apparel,Menswear,Under Armour Inc,0.1,0.2,0.2,2.7,3.6,4.2,34.3,13.7
D2AE18C8,WE,Austria,Apparel,Menswear,Nike Inc,0.1,0.2,0.2,3.1,3.7,4,18,6.3
6386141B,WE,Austria,Apparel,Menswear,Lacoste SA,0,0,0,0,0,0,0,0
95227997,WE,Austria,Apparel,Menswear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0
D5C5D94E,WE,Austria,Apparel,Womenswear,H&M Hennes & Mauritz AB,8.9,8.9,8.8,401.3,400.5,408.1,0,0.1
BFADA36E,WE,Austria,Apparel,Womenswear,Inditex, Industria de Diseño Textil SA,1.3,1.4,1.5,60.3,64.1,67.8,6.6,3.9
DE2B6F28,WE,Austria,Apparel,Womenswear,adidas Group,0.2,0.2,0.2,7.7,8.9,9.7,15.7,7.8
C3C9001D,WE,Austria,Apparel,Womenswear,Lacoste SA,0,0,0,0,0,0,0,0
C8F61EEF,WE,Austria,Apparel,Womenswear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0
